Vehicle_Category,Administrative_Region,Vehicle_Type,Max_Voltage_Battery_Pack_Index,Max_Voltage_Battery_Index,Max_Voltage_Value_V,Min_Voltage_Battery_Pack_Index,Min_Voltage_Battery_Index,Min_Voltage_Value_V,Total_Voltage_V,Max_Temperature_Battery_Pack_Index,Max_Temperature_Probe_Index,Max_Temperature_Value_DegreeC,Min_Temperature_Battery_Pack_Index,Min_Temperature_Probe_Index,Min_Temperature_Value_DegreeC,State_Of_Charge,Total_Current_A,Insulation_Resistance_MegaOhm,Remaining_Energy_kWh,Validity,Upload_Date,Upload_Time
,,200,1,1,3.94,1,1,3.94,357.80,1,17,14,1,3,8,72,0.6,10000,21.9,,2015-04-02,070556
,,200,1,1,3.94,1,1,3.94,357.80,1,16,14,1,1,9,72,1.3,10000,21.9,,2015-04-02,070606
,,200,1,1,3.94,1,1,3.94,357.70,1,17,14,1,1,9,72,1.2,10000,21.9,,2015-04-02,070616
,,200,1,1,3.94,1,77,3.92,357.80,1,16,14,1,1,9,72,0.8,10000,21.9,,2015-04-02,070626
,,200,1,1,3.94,1,1,3.94,357.80,1,17,14,1,3,8,72,0.6,10000,21.9,,2015-04-02,070636
,,200,1,1,3.94,1,1,3.94,357.80,1,16,14,1,3,9,72,0.6,10000,21.9,,2015-04-02,070646
,,200,1,1,3.94,1,1,3.94,357.80,1,17,14,1,3,8,72,0.6,10000,21.9,,2015-04-02,070656
,,200,1,1,3.94,1,77,3.92,357.60,1,17,14,1,3,9,72,3.2,10000,21.9,,2015-04-02,070706
,,200,1,1,3.94,1,1,3.94,357.60,1,16,14,1,3,9,72,2.5,10000,21.9,,2015-04-02,070716
,,200,1,1,3.94,1,6,3.92,357.40,1,17,14,1,3,8,72,7.3,10000,21.9,,2015-04-02,070726
,,200,1,1,3.94,1,1,3.94,357.70,1,17,14,1,3,8,72,0.7,10000,21.9,,2015-04-02,070736
,,200,1,1,3.94,1,57,3.92,357.70,1,17,14,1,1,9,72,1.1,10000,21.9,,2015-04-02,070746
,,200,1,4,3.94,1,1,3.92,357.10,1,16,14,1,3,8,72,9.5,10000,21.9,,2015-04-02,070756
,,200,1,1,3.94,1,15,3.92,357.40,1,17,14,1,3,8,72,4.1,10000,21.9,,2015-04-02,070806
,,200,1,1,3.94,1,77,3.92,357.60,1,17,14,1,2,9,72,1.7,10000,21.9,,2015-04-02,070816
,,200,1,1,3.94,1,77,3.92,357.60,1,17,14,1,1,9,72,0.7,10000,21.9,,2015-04-02,070826
,,200,1,1,3.94,1,1,3.94,357.70,1,17,14,1,3,8,72,0.7,10000,21.9,,2015-04-02,070836
,,200,1,1,3.94,1,6,3.92,357.30,1,16,14,1,3,9,72,6,10000,21.9,,2015-04-02,070856
,,200,1,1,3.94,1,67,3.92,357.60,1,16,14,1,3,9,72,1.2,10000,21.9,,2015-04-02,070906
,,200,1,1,3.94,1,19,3.92,357.50,1,17,14,1,3,8,72,1,10000,21.9,,2015-04-02,070916
,,200,1,1,3.94,1,77,3.92,357.60,1,17,14,1,1,9,72,1.2,10000,21.9,,2015-04-02,070926
,,200,1,1,3.94,1,77,3.92,357.60,1,17,14,1,3,8,72,1,10000,21.9,,2015-04-02,070936
,,200,1,1,3.94,1,77,3.92,357.70,1,17,14,1,3,8,72,0.7,10000,21.9,,2015-04-02,070946
,,200,1,1,3.94,1,77,3.92,357.60,1,16,14,1,3,9,72,0.7,10000,21.9,,2015-04-02,070956
,,200,1,1,3.94,1,77,3.92,357.60,1,16,14,1,1,9,72,0.8,10000,21.9,,2015-04-02,071006
,,200,1,1,3.94,1,77,3.92,357.50,1,17,14,1,3,8,72,1.2,10000,21.9,,2015-04-02,071016
,,200,1,1,3.94,1,19,3.92,357.70,1,16,14,1,3,8,72,1.1,10000,21.9,,2015-04-02,071026
,,200,1,1,3.94,1,77,3.92,357.60,1,16,14,1,3,9,72,0.7,10000,21.9,,2015-04-02,071036
,,200,1,1,3.94,1,77,3.92,357.70,1,17,14,1,3,8,72,0.7,10000,21.9,,2015-04-02,071046
,,200,1,1,3.94,1,77,3.92,357.50,1,17,14,1,3,8,72,2,10000,21.9,,2015-04-02,071056
,,200,1,1,3.94,1,77,3.92,357.70,1,16,14,1,3,9,72,1.7,10000,21.9,,2015-04-02,071106
,,200,1,1,3.94,1,77,3.92,357.70,1,17,14,1,3,8,72,0.7,10000,21.9,,2015-04-02,071116
,,200,1,1,3.94,1,10,3.92,357.70,1,16,14,1,3,8,72,0.7,10000,21.9,,2015-04-02,071126
,,200,1,1,3.94,1,19,3.92,357.50,1,16,14,1,3,9,72,3.7,10000,21.9,,2015-04-02,071136
,,200,1,1,3.94,1,77,3.92,357.50,1,17,14,1,3,8,72,1.1,10000,21.9,,2015-04-02,071146
,,200,1,1,3.94,1,19,3.92,357.50,1,16,14,1,3,9,72,2.3,10000,21.9,,2015-04-02,071156
,,200,1,4,3.94,1,1,3.92,357.00,1,17,14,1,3,8,72,10.3,10000,21.9,,2015-04-02,071206
,,200,1,1,3.92,1,1,3.92,356.90,1,16,14,1,1,9,72,8.4,10000,21.9,,2015-04-02,071216
,,200,1,1,3.94,1,16,3.92,357.50,1,17,14,1,1,9,72,-0.2,10000,21.9,,2015-04-02,071226
,,200,1,3,3.94,1,1,3.92,357.30,1,17,14,1,3,8,72,4.4,10000,21.9,,2015-04-02,071236
,,200,1,1,3.94,1,6,3.92,357.40,1,17,14,1,3,8,72,0.6,10000,21.9,,2015-04-02,071246
,,200,1,1,3.94,1,6,3.92,357.40,1,17,14,1,3,8,72,0.8,10000,21.9,,2015-04-02,071256
,,200,1,1,3.94,1,18,3.92,357.50,1,16,14,1,3,9,72,0.7,10000,21.9,,2015-04-02,071306
,,200,1,1,3.94,1,19,3.92,357.50,1,17,14,1,3,8,72,0.7,10000,21.9,,2015-04-02,071316
,,200,1,1,3.94,1,19,3.92,357.50,1,16,14,1,3,9,71.6,0.7,10000,21.8,,2015-04-02,071326
,,200,1,1,3.94,1,6,3.92,357.40,1,17,14,1,1,9,71.6,0.3,10000,21.8,,2015-04-02,071336
,,200,1,1,3.94,1,10,3.92,357.50,1,16,14,1,3,9,71.6,0.6,10000,21.8,,2015-04-02,071346
,,200,1,3,3.94,1,1,3.92,357.20,1,17,14,1,3,8,71.6,6.2,10000,21.8,,2015-04-02,071356
,,200,1,2,3.92,1,1,3.9,355.50,1,16,14,1,3,8,71.6,32.5,10000,21.8,,2015-04-02,071406
,,200,1,12,3.92,1,60,3.88,354.70,1,17,14,1,1,9,71.6,34.2,10000,21.8,,2015-04-02,071416
,,200,1,1,3.92,1,60,3.88,355.60,1,16,14,1,1,9,71.6,17.1,10000,21.8,,2015-04-02,071426
,,200,1,1,3.9,1,5,3.88,354.70,1,17,14,1,3,8,71.6,28.9,10000,21.8,,2015-04-02,071436
,,200,1,1,3.92,1,10,3.9,356.10,1,16,14,1,1,9,71.6,2.3,10000,21.8,,2015-04-02,071446
,,200,1,1,3.94,1,10,3.92,357.80,1,17,14,1,3,8,71.6,-22.2,10000,21.8,,2015-04-02,071456
,,200,1,1,3.92,1,1,3.92,356.70,1,16,14,1,3,9,71.6,0.7,10000,21.8,,2015-04-02,071506
,,200,1,1,3.92,1,1,3.92,356.80,1,17,14,1,3,8,71.6,0.6,10000,21.8,,2015-04-02,071516
,,200,1,1,3.92,1,1,3.92,356.90,1,16,14,1,1,9,71.6,0.5,10000,21.8,,2015-04-02,071526
,,200,1,1,3.92,1,40,3.9,356.20,1,16,14,1,1,9,71.6,11.6,10000,21.8,,2015-04-02,071536
,,200,1,43,3.9,1,12,3.84,353.10,1,17,14,1,3,8,71.2,57.9,10000,21.7,,2015-04-02,071546
,,200,1,1,3.92,1,77,3.9,356.20,1,17,14,1,3,9,71.2,-2.2,10000,21.7,,2015-04-02,071556
,,200,1,11,3.9,1,1,3.88,354.00,1,17,14,1,3,8,71.2,36.3,10000,21.7,,2015-04-02,071606
,,200,1,1,3.92,1,1,3.92,356.90,1,17,14,1,3,8,71.2,-8.7,10000,21.7,,2015-04-02,071616
,,200,1,1,3.92,1,12,3.9,355.70,1,16,14,1,3,9,71.2,12,10000,21.7,,2015-04-02,071626
,,200,1,3,3.92,1,1,3.9,355.40,1,17,14,1,3,8,71.2,17.9,10000,21.7,,2015-04-02,071636
,,200,1,1,3.92,1,40,3.9,356.30,1,17,14,1,3,8,71.2,-1.4,10000,21.7,,2015-04-02,071646
,,200,1,1,3.92,1,33,3.9,356.20,1,16,14,1,3,9,71.2,0.8,10000,21.7,,2015-04-02,071656
,,200,1,1,3.92,1,1,3.92,356.20,1,16,14,1,3,9,71.2,3.5,10000,21.7,,2015-04-02,071706
,,200,1,1,3.92,1,1,3.92,356.40,1,16,14,1,3,9,71.2,0.8,10000,21.7,,2015-04-02,071716
,,200,1,1,3.92,1,1,3.92,356.40,1,17,14,1,1,9,71.2,0.7,10000,21.7,,2015-04-02,071726
,,200,1,1,3.92,1,1,3.92,356.50,1,16,14,1,3,9,71.2,0.7,10000,21.7,,2015-04-02,071736
,,200,1,1,3.92,1,1,3.92,356.60,1,17,14,1,3,8,71.2,0.7,10000,21.7,,2015-04-02,071746
,,200,1,1,3.92,1,1,3.92,356.60,1,17,14,1,1,9,71.2,0.7,10000,21.7,,2015-04-02,071756
,,200,1,1,3.92,1,1,3.92,356.60,1,17,14,1,3,8,71.2,0.7,10000,21.7,,2015-04-02,071806
,,200,1,1,3.92,1,1,3.92,356.60,1,17,14,1,3,8,71.2,0.7,10000,21.7,,2015-04-02,071816
,,200,1,1,3.92,1,1,3.92,356.70,1,16,14,1,1,9,71.2,0.7,10000,21.7,,2015-04-02,071826
,,200,1,60,3.92,1,12,3.88,354.20,1,17,14,1,1,9,71.2,41.7,10000,21.7,,2015-04-02,071836
,,200,1,1,3.92,1,1,3.92,356.80,1,16,14,1,1,9,70.4,-9,10000,21.5,,2015-04-02,071846
,,200,1,23,3.92,1,25,3.88,355.50,1,17,14,1,3,8,70.4,4,10000,21.5,,2015-04-02,071856
,,200,1,1,3.9,1,1,3.9,355.00,1,17,14,1,3,8,70.4,15.3,10000,21.5,,2015-04-02,071906
,,200,1,1,3.92,1,1,3.92,356.30,1,17,14,1,1,9,70.4,-4.1,10000,21.5,,2015-04-02,071916
,,200,1,1,3.9,1,40,3.86,354.20,1,16,14,1,1,9,70.4,25.5,10000,21.5,,2015-04-02,071926
,,200,1,21,3.92,1,40,3.88,354.80,1,17,14,1,3,8,70.4,18.4,10000,21.5,,2015-04-02,071936
,,200,1,1,3.92,1,10,3.9,356.50,1,17,14,1,3,8,70.4,-16.9,10000,21.5,,2015-04-02,071946
,,200,1,25,3.94,1,1,3.92,356.80,1,17,14,1,1,9,70.4,-16,10000,21.5,,2015-04-02,071956
,,200,1,1,3.92,1,18,3.9,355.90,1,16,14,1,1,9,70.4,1.3,10000,21.5,,2015-04-02,072006
,,200,1,1,3.92,1,1,3.92,356.10,1,17,14,1,3,8,70.4,0.7,10000,21.5,,2015-04-02,072036
,,200,1,21,3.92,1,1,3.9,355.00,1,17,14,1,3,8,70.4,20.7,10000,21.5,,2015-04-02,072046
,,200,1,1,3.9,1,1,3.9,355.20,1,17,14,1,3,8,70.4,16.1,10000,21.4,,2015-04-02,072116
,,200,1,21,3.92,1,1,3.9,355.20,1,17,14,1,1,9,70.4,14.5,10000,21.4,,2015-04-02,072136
,,200,1,1,3.92,1,17,3.9,356.40,1,16,14,1,3,9,70.4,-10.2,10000,21.4,,2015-04-02,072146
,,200,1,1,3.92,1,77,3.9,356.00,1,17,14,1,3,8,70.4,-2.3,10000,21.4,,2015-04-02,072216
,,200,1,1,3.92,1,77,3.9,356.00,1,16,14,1,3,9,70.4,0.6,10000,21.4,,2015-04-02,072246
,,200,1,1,3.92,1,19,3.9,356.00,1,17,14,1,3,8,70.4,0.9,10000,21.4,,2015-04-02,072256
,,200,1,1,3.92,1,17,3.9,356.10,1,17,14,1,3,8,70.4,-5,10000,21.4,,2015-04-02,072306
,,200,1,21,3.92,1,1,3.9,355.70,1,17,14,1,3,8,70.4,4,10000,21.4,,2015-04-02,072336
,,200,1,11,3.92,1,1,3.9,355.80,1,18,14,1,3,8,70.4,2.9,10000,21.4,,2015-04-02,072346
,,200,1,17,3.92,1,1,3.9,354.60,1,17,14,1,1,9,70.4,22.2,10000,21.4,,2015-04-02,072356
,,200,1,1,3.9,1,12,3.88,354.60,1,17,14,1,1,9,70.4,21.5,10000,21.4,,2015-04-02,072406
,,200,1,1,3.9,1,1,3.9,355.20,1,17,14,1,3,9,70.4,6.1,10000,21.4,,2015-04-02,072416
,,200,1,1,3.92,1,6,3.9,355.70,1,16,14,1,1,9,70.4,0.5,10000,21.4,,2015-04-02,072426
